effective_date,signal_date,risk_on,leaders,turnover,transaction_cost,weights
2021-03-15,2021-03-12,False,SGOV,0.0,0.0,{'SGOV': 1.0}
2021-03-22,2021-03-19,False,SGOV,0.0,0.0,{'SGOV': 1.0}
2021-03-29,2021-03-26,False,SGOV,0.0,0.0,{'SGOV': 1.0}
2021-04-05,2021-04-02,False,SGOV,0.0,0.0,{'SGOV': 1.0}
2021-04-12,2021-04-09,False,SGOV,0.0,0.0,{'SGOV': 1.0}
2021-04-19,2021-04-16,False,SGOV,0.0,0.0,{'SGOV': 1.0}
2021-04-26,2021-04-23,False,SGOV,0.0,0.0,{'SGOV': 1.0}
2021-05-03,2021-04-30,False,SGOV,0.0,0.0,{'SGOV': 1.0}
2021-05-10,2021-05-07,False,SGOV,0.0,0.0,{'SGOV': 1.0}
2021-05-17,2021-05-14,False,SGOV,0.0,0.0,{'SGOV': 1.0}
2021-05-24,2021-05-21,False,SGOV,0.0,0.0,{'SGOV': 1.0}
2021-06-01,2021-05-28,False,SGOV,0.0,0.0,{'SGOV': 1.0}
2021-06-07,2021-06-04,True,"SMIN,BLOK,PICK,PAVE,FNDA",1.0,0.0005,"{'BLOK': 0.2, 'FNDA': 0.2, 'PAVE': 0.2, 'PICK': 0.2, 'SGOV': 0.0, 'SMIN': 0.2}"
2021-06-14,2021-06-11,True,"SMIN,BLOK,PAVE,PICK,FNDA",0.0,0.0,"{'BLOK': 0.2, 'FNDA': 0.2, 'PAVE': 0.2, 'PICK': 0.2, 'SGOV': 0.0, 'SMIN': 0.2}"
2021-06-21,2021-06-18,True,"SMIN,BLOK,PAVE,FNDA,QCLN",0.2,0.0001,"{'BLOK': 0.2, 'FNDA': 0.2, 'PAVE': 0.2, 'QCLN': 0.2, 'SGOV': 0.0, 'SMIN': 0.2}"
2021-06-28,2021-06-25,True,"SMIN,BLOK,FNDA,QCLN,PICK",0.2,0.0001,"{'BLOK': 0.2, 'FNDA': 0.2, 'PICK': 0.2, 'QCLN': 0.2, 'SGOV': 0.0, 'SMIN': 0.2}"
2021-07-06,2021-07-02,True,"SMIN,BLOK,FNDA,KCE,PAVE",0.4,0.0002,"{'BLOK': 0.2, 'FNDA': 0.2, 'KCE': 0.2, 'PAVE': 0.2, 'SGOV': 0.0, 'SMIN': 0.2}"
2021-07-12,2021-07-09,True,"SMIN,PAVE,FNDA,KCE,PICK",0.2,0.0001,"{'FNDA': 0.2, 'KCE': 0.2, 'PAVE': 0.2, 'PICK': 0.2, 'SGOV': 0.0, 'SMIN': 0.2}"
2021-07-19,2021-07-16,True,"SMIN,KCE,FNDA,PICK,PAVE",0.0,0.0,"{'FNDA': 0.2, 'KCE': 0.2, 'PAVE': 0.2, 'PICK': 0.2, 'SGOV': 0.0, 'SMIN': 0.2}"
2021-07-26,2021-07-23,True,"SMIN,KCE,PICK,FNDA,PAVE",0.0,0.0,"{'FNDA': 0.2, 'KCE': 0.2, 'PAVE': 0.2, 'PICK': 0.2, 'SGOV': 0.0, 'SMIN': 0.2}"
2021-08-02,2021-07-30,True,"SMIN,KCE,PICK,FNDA,PAVE",0.0,0.0,"{'FNDA': 0.2, 'KCE': 0.2, 'PAVE': 0.2, 'PICK': 0.2, 'SGOV': 0.0, 'SMIN': 0.2}"
